SiteA_N1,SiteA_NN1,SiteB_N,SiteB_NN,SiteC_N,SiteC_NN,SiteD_N,SiteD_NN,SiteE_N,SiteE_NN,SiteF_N,SiteF_NN
6,6,3,7,3,11,3,6,3,8,3,12
7,5,4,6,4,8,3,10,3,9,2,9
5,2,5,9,1,9,5,12,1,12,3,10
7,5,2,7,5,7,3,9,3,10,5,12
5,6,6,7,3,6,3,9,1,8,0,13
6,7,6,4,4,9,4,8,1,9,2,8
7,3,5,4,6,5,3,4,1,9,2,10
7,3,5,4,3,7,3,10,0,0,1,14
6,1,4,2,5,8,5,8,0,0,3,17
5,2,6,2,4,6,4,10,2,9,3,9
8,5,7,0,5,8,3,7,2,6,2,9
7,7,7,0,4,5,4,9,0,7,1,16
7,6,6,1,4,5,4,6,3,10,3,11
6,4,7,1,4,3,4,8,4,10,3,12
6,1,6,1,4,4,3,7,1,9,3,10
5,0,6,1,4,5,4,6,3,8,3,12
6,1,6,1,4,5,3,8,1,8,2,12
0,0,0,0,0,0,0,0,3,8,4,8
5,0,6,0,4,2,3,7,1,7,2,10
0,0,6,0,4,2,4,4,2,6,3,11
6,1,6,1,4,3,4,5,1,10,4,11
7,1,6,2,4,1,4,7,0,7,3,11
7,4,5,1,3,3,4,7,1,5,2,8
6,0,0,0,4,3,4,8,2,11,0,7
